Country Name,Country Code,TouristMean_1990_2020
Sint Maarten (Dutch part),SXM,404230
Seychelles,SYC,167269
Syrian Arab Republic,SYR,2124500
Turks and Caicos Islands,TCA,229296
Chad,TCD,38807
East Asia & Pacific (IDA & IBRD countries),TEA,93304624
Europe & Central Asia (IDA & IBRD countries),TEC,105720055
Togo,TGO,161153
Thailand,THA,15541346
Tajikistan,TJK,145669
Turkmenistan,TKM,40761
Latin America & the Caribbean (IDA & IBRD countries),TLA,55136728
Timor-Leste,TLS,26192
Middle East & North Africa (IDA & IBRD countries),TMN,32150847
Tonga,TON,39084
South Asia (IDA & IBRD),TSA,9107085
Sub-Saharan Africa (IDA & IBRD countries),TSS,26069607
Trinidad and Tobago,TTO,366461
Tunisia,TUN,5557615
Turkey,TUR,21577538
Tuvalu,TUV,1330
Tanzania,TZA,682461
Uganda,UGA,594461
Ukraine,UKR,13187615
Upper middle income,UMC,206604288
Uruguay,URY,2097923
United States,USA,53065701
Uzbekistan,UZB,1079192
St. Vincent and the Grenadines,VCT,70038
"Venezuela, RB",VEN,580500
British Virgin Islands,VGB,288730
Virgin Islands (U.S.),VIR,496038
Vietnam,VNM,4593769
Vanuatu,VUT,70950
World,WLD,833302406
Samoa,WSM,98976
Kosovo,XKX,0
"Yemen, Rep.",YEM,405200
South Africa,ZAF,7043269
Zambia,ZMB,627692
Zimbabwe,ZWE,1874846
